date,product,region,quantity,revenue
2025-01-05,Widget A,North,120,2400.50
2025-01-06,Widget B,South,85,1275.00
2025-01-07,Widget A,East,200,4000.00
2025-01-08,Widget C,West,45,675.25
2025-01-09,Widget B,North,150,2250.75
2025-01-10,Widget A,South,90,1800.00
2025-01-11,Widget C,East,60,900.50
2025-01-12,Widget B,West,110,1650.00
2025-01-13,Widget A,North,175,3500.25
2025-01-14,Widget C,South,55,825.00
2025-01-15,Widget B,East,130,1950.50
2025-01-16,Widget A,West,95,1900.00
2025-01-17,Widget C,North,70,1050.75
2025-01-18,Widget B,South,140,2100.00
2025-01-19,Widget A,East,160,3200.50
2025-01-20,Widget C,West,40,600.00
